id,short_name,name,url,note
97072,AD,Alzheimer Disease,http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=104300,
97073,ADPD,Alzheimer Disease and Parkinson Disease,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=omim&term=Alzheimer+Parkinson,
97074,AMDF,Ataxia Myoclonus and Deafness,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=omim&term=Ataxia+Myoclonus+Deafness,
97075,CIPO,Chronic Intestinal Pseudoobstruction with myopathy and Ophthalmoplegia,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=omim&term=Intestinal+Pseudo+obstruction+ophthalmoplegia,
97076,CPEO,Chronic Progressive External Ophthalmoplegia,http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=530000,
97077,DEAF,Maternally inherited DEAFness,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=omim&term=Maternally+inherited+deafness,
97078,aminoglycoside-induced DEAFness,aminoglycoside-induced DEAFness,http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=580000,
97079,DEMCHO,Dementia and Chorea,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=omim&term=dementia+chorea,
97080,DMDF,Diabetes Mellitus + Deafness,http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=520000,
97081,Exercise Intolerance,Exercise Intolerance,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=omim&term=exercise intolerance,
97082,ESOC,Epilepsy; Strokes; Optic atrophy; Cognitive decline,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=omim&term=epilepsy+strokes+optic+atrophy,
97083,FBSN,Familial Bilateral Striatal Necrosis,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=omim&term=Familial+bilateral+striatal+necrosis,
97084,FICP,Fatal Infantile Cardiomyopathy MELAS-associated,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=omim&term=Infantile+Cardiomyopathy+MELAS,
97085,GER,Gastrointestinal Reflux,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=omim&term=gastrointestinal+reflux,
97086,KSS,KSS Kearns-Sayre Syndrome,http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=530000,
97087,LDYT,Leber Hereditary Optic Neuropathy and Dystonia,http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=500001,
97088,LHON,Leber Hereditary Optic Neuropathy,http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=535000,
97089,LIMM,Lethal Infantile Mitochondrial Myopathy,http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=551000,
97090,MDM,Myopathy and Diabetes Mellitus,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=omim&term=diabetes+mellitus+myopathy,
97091,MELAS,"Mitochondrial Encephalomyopathy, Lactic Acidosis, and Stroke-like episodes",http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=540000,
97092,MEPR,Myoclonic Epilepsy and Psychomotor Regression,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=omim&term=myoclonic+epilepsy+psychomotor,
97093,MERME,MERRF/MELAS overlap disease,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=omim&term=(MERRF+OR+MELAS),
97094,MERRF,Myoclonic Epilepsy and Ragged Red Muscle Fibers,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=omim&term=MERRF,
97095,MHCM,Maternally Inherited Hypertrophic CardioMyopathy,"http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=omim&term=hypertropic+cardiomyopathy+(""mitochondrially-encoded"")",
97096,MICM,Maternally Inherited Cardiomyopathy,"http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=omim&term=cardiomyopathy+(""mitochondrially-encoded"")",
97097,MILS,Maternally Inherited Leigh Syndrome,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=omim&term=(Leigh+syndrome[All Fields])+mtDNA[TEXT],
97098,Mitochondrial Encephalocardiomyopathy,Mitochondrial Encephalocardiomyopathy,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=omim&term=encephalocardiomyopathy,
97099,Mitochondrial Encephalomyopathy,Mitochondrial Encephalomyopathy,"http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=omim&term=(encephalomyopathy[All Fields]+AND+""type mitochondrial""[prop])",
97100,MM,Mitochondrial Myopathy,"http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=omim&term=(myopathy[Title]+AND+""type mitochondrial""[prop])",
97101,MMC,Maternal Myopathy and Cardiomyopathy,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=omim&term=(maternal+Or+maternally)+myopathy+cardiomyopathy,
97102,Multisystem Disorder,"Multisystem Mitochondrial Disorder (myopathy, encephalopathy, blindness, hearing loss, peripheral neuropathy)",http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=omim&term=multisystem+mitochondrial+disorder,
97103,NARP,NARP,http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=551500,
97104,LEIGH,Leigh Disease,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=omim&term=Leigh+Disease,
97105,NIDDM,Non-Insulin Dependent Diabetes Mellitus,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=omim&term=NIDDM,
97106,PEM,Progressive Encephalopathy,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=omim&term=Progressive+encephalopathy,
97107,PME,Progressive Myoclonus Epilepsy,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=omim&term=Progressive+Myoclonus+Epilepsy+PME,
97108,Rett Syndrome,Rett Syndrome,http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=312750,
97109,SIDS,Sudden Infant Death Syndrome,http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=272120,
97110,SNHL,Sensorineural Hearing Loss,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=omim&term=Sensorineural+Hearing+Loss,
